coverage_95_mean,coverage_95_std,dataset,gaussian_nll_mean,gaussian_nll_std,mae_mean,mae_std,mask,model,nrmse_mean,nrmse_std,observed_rmse_mean,observed_rmse_std,parameters,ratio,relative_l2_mean,relative_l2_std,rmse_mean,rmse_std,seeds,uncertainty_error_spearman_mean,uncertainty_error_spearman_std
,,synthetic_boundary,,,0.16443061331907907,0.014304176789865503,random,spectral_cp,0.4916623632113139,0.03985384388921781,0.19335771600405374,0.007877008014948146,120,0.05,0.2892298599084218,0.023957239802279175,0.22393757104873657,0.01813471884938479,3,,
,,synthetic_boundary,,,0.15786493321259817,0.010762894852032192,random,wrong_spectral_cp,0.5206088821093241,0.03276184025328652,0.13324546813964844,0.016700185454291635,148,0.05,0.30625354250272113,0.019838727810191966,0.23712743322054544,0.015038282733072806,3,,
0.826744814713796,0.02399815212317491,synthetic_wave,0.9960013429323832,0.023908369751890667,0.4399123191833496,0.020376221303642562,random,bayesian_spectral_tensor,1.0704745451609294,0.07530093747254926,0.03816288709640503,0.004702688488114407,192,0.005,1.0704892079035442,0.07530188130022201,0.5984517733256022,0.04192359016422915,3,0.39542089899381,0.02797361672275976
,,synthetic_wave,,,0.48437368869781494,0.07859674821158913,random,cp,1.1597228248914082,0.27532970236050547,0.44025563697020215,0.1987677448445208,420,0.005,1.1597387393315632,0.27533326398290586,0.6483890016873678,0.1541661445239207,3,,
,,synthetic_wave,,,0.5503458877404531,0.1816760896663599,random,geo_nft,1.3707289298375447,0.480909198033335,0.017462631687521935,0.0038362170769685525,2263,0.005,1.3707478443781536,0.4809157059836429,0.766311377286911,0.26878603342528773,3,,
,,synthetic_wave,,,0.34360550840695697,0.01855693856963445,random,inr,0.7980567216873169,0.03713571761412225,1.1371482126302605e-07,1.1122083119319761e-08,8641,0.005,0.7980676293373108,0.03713605495572768,0.4461659590403239,0.020885701973179394,3,,
,,synthetic_wave,,,0.26024359464645386,0.012874749617681678,random,neural_cp,0.6493594845136007,0.058240849042280184,0.15602560341358185,0.023251489036779267,3760,0.005,0.6493684848149618,0.05824177979809707,0.3630303740501404,0.03254233736973928,3,,
,,synthetic_wave,,,0.39138657848040265,0.13797661807650366,random,spectral_cp,1.0380950967470806,0.42147640808314984,0.1701085021098455,0.019869519684658544,200,0.005,1.0381091237068176,0.42148206252316467,0.5804142852624258,0.23584722943504743,3,,
,,synthetic_wave,,,0.2651001811027527,0.010192987430550816,random,wrong_spectral_cp,0.6478816668192545,0.0019192113865057878,0.14174663523832956,0.004762364781671793,228,0.005,0.6478904684384664,0.0019192491853241456,0.3622054159641266,0.0011623200556488166,3,,
0.5902726451555887,0.02703207657092103,synthetic_wave,2.0273762543996177,0.22795147742125332,0.29822749892870587,0.016201588483736692,random,bayesian_spectral_tensor,0.7307976086934408,0.06349981800982114,0.16018955409526825,0.007893267064451,192,0.01,0.7308074037233988,0.06350062442196415,0.4086662530899048,0.035331694590069324,3,0.3478858768939972,0.06135912724769894
,,synthetic_wave,,,0.4401271641254425,0.00032236907632484535,random,cp,1.0022811492284138,0.0006851839316727738,0.5304336547851562,0.023172865545872293,420,0.01,1.0022948582967122,0.0006853925152690727,0.5604948798815409,0.00032741081128445946,3,,
